account,name,entry_mode,entry_rsi,exit_rsi,take_profit_pct,stop_loss_pct,position_size_pct,max_hold_hours
acc_001,dip_e30_x72_tp4_sl2.0_p40_h0,dip,30.0,72.0,4.0,2.0,40.0,0.0
acc_002,dip_e15_x60_tp3_sl1.5_p30_h72,dip,15,60,3,1.5,30,72
acc_003,dip_e15_x60_tp4_sl2.0_p50_h72,dip,15,60,4,2,50,72
acc_004,dip_e15_x60_tp5_sl3.0_p80_h168,dip,15,60,5,3,80,168
acc_005,dip_e15_x60_tp8_sl1.0_p20_h336,dip,15,60,8,1,20,336
acc_006,dip_e15_x60_tp10_sl1.5_p40_h720,dip,15,60,10,1.5,40,720
acc_007,dip_e15_x60_tp12_sl2.0_p60_h720,dip,15,60,12,2,60,720
acc_008,dip_e15_x60_tp15_sl5.0_p20_h0,dip,15,60,15,5,20,0
acc_009,dip_e15_x64_tp3_sl1.0_p40_h72,dip,15,64,3,1,40,72
acc_010,dip_e15_x64_tp4_sl1.5_p60_h72,dip,15,64,4,1.5,60,72
acc_011,dip_e15_x64_tp5_sl3.0_p10_h168,dip,15,64,5,3,10,168
acc_012,dip_e15_x64_tp6_sl5.0_p30_h336,dip,15,64,6,5,30,336
acc_013,dip_e15_x64_tp10_sl1.0_p50_h720,dip,15,64,10,1,50,720
acc_014,dip_e15_x64_tp12_sl1.5_p80_h720,dip,15,64,12,1.5,80,720
acc_015,dip_e15_x64_tp15_sl3.0_p30_h0,dip,15,64,15,3,30,0
acc_016,dip_e15_x68_tp2_sl5.0_p50_h72,dip,15,68,2,5,50,72
acc_017,dip_e15_x68_tp4_sl1.0_p80_h168,dip,15,68,4,1,80,168
acc_018,dip_e15_x68_tp5_sl2.0_p20_h168,dip,15,68,5,2,20,168
acc_019,dip_e15_x68_tp6_sl3.0_p40_h336,dip,15,68,6,3,40,336
acc_020,dip_e15_x68_tp8_sl5.0_p60_h720,dip,15,68,8,5,60,720
acc_021,dip_e15_x68_tp12_sl1.5_p10_h720,dip,15,68,12,1.5,10,720
acc_022,dip_e15_x68_tp15_sl2.0_p40_h0,dip,15,68,15,2,40,0
acc_023,dip_e15_x72_tp2_sl3.0_p60_h72,dip,15,72,2,3,60,72
acc_024,dip_e15_x72_tp4_sl1.0_p10_h168,dip,15,72,4,1,10,168
acc_025,dip_e15_x72_tp5_sl1.5_p30_h168,dip,15,72,5,1.5,30,168
acc_026,dip_e15_x72_tp6_sl2.0_p50_h336,dip,15,72,6,2,50,336
acc_027,dip_e15_x72_tp8_sl3.0_p80_h720,dip,15,72,8,3,80,720
acc_028,dip_e15_x72_tp12_sl1.0_p20_h720,dip,15,72,12,1,20,720
acc_029,dip_e15_x72_tp15_sl1.5_p50_h0,dip,15,72,15,1.5,50,0
acc_030,dip_e15_x76_tp2_sl2.0_p80_h72,dip,15,76,2,2,80,72
acc_031,dip_e15_x76_tp3_sl5.0_p20_h168,dip,15,76,3,5,20,168
acc_032,dip_e15_x76_tp5_sl1.0_p40_h168,dip,15,76,5,1,40,168
acc_033,dip_e15_x76_tp6_sl1.5_p60_h336,dip,15,76,6,1.5,60,336
acc_034,dip_e15_x76_tp8_sl3.0_p10_h720,dip,15,76,8,3,10,720
acc_035,dip_e15_x76_tp10_sl5.0_p30_h720,dip,15,76,10,5,30,720
acc_036,dip_e15_x76_tp15_sl1.0_p60_h0,dip,15,76,15,1,60,0
acc_037,dip_e15_x80_tp2_sl2.0_p10_h72,dip,15,80,2,2,10,72
acc_038,dip_e15_x80_tp3_sl3.0_p30_h168,dip,15,80,3,3,30,168
acc_039,dip_e15_x80_tp4_sl5.0_p50_h168,dip,15,80,4,5,50,168
acc_040,dip_e15_x80_tp6_sl1.0_p80_h336,dip,15,80,6,1,80,336
acc_041,dip_e15_x80_tp8_sl2.0_p20_h720,dip,15,80,8,2,20,720
acc_042,dip_e15_x80_tp10_sl3.0_p50_h0,dip,15,80,10,3,50,0
acc_043,dip_e15_x80_tp12_sl5.0_p80_h0,dip,15,80,12,5,80,0
acc_044,dip_e15_x85_tp2_sl1.5_p20_h72,dip,15,85,2,1.5,20,72
acc_045,dip_e15_x85_tp3_sl2.0_p40_h168,dip,15,85,3,2,40,168
acc_046,dip_e15_x85_tp4_sl3.0_p60_h168,dip,15,85,4,3,60,168
acc_047,dip_e15_x85_tp6_sl1.0_p10_h336,dip,15,85,6,1,10,336
acc_048,dip_e15_x85_tp8_sl1.5_p30_h720,dip,15,85,8,1.5,30,720
acc_049,dip_e15_x85_tp10_sl2.0_p60_h0,dip,15,85,10,2,60,0
acc_050,dip_e15_x85_tp12_sl5.0_p10_h0,dip,15,85,12,5,10,0
acc_051,dip_e18_x60_tp2_sl1.0_p30_h72,dip,18,60,2,1,30,72
acc_052,dip_e18_x60_tp3_sl1.5_p50_h168,dip,18,60,3,1.5,50,168
acc_053,dip_e18_x60_tp4_sl2.0_p80_h168,dip,18,60,4,2,80,168
acc_054,dip_e18_x60_tp5_sl5.0_p20_h336,dip,18,60,5,5,20,336
